source_type,source_index,sentence,phrase,normalized_phrase,proposed_abbreviation,word_count
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",распознавания словоформ,распознавание словоформа,РС,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",словоформ выделения,словоформа выделение,СВ,2
paragraph,1,"Этот документ предназначен для проверки трёх задач: распознавания словоформ, выделения уже введённых аббревиатур и определения необходимости ввода новых сокращений.",введённых аббревиатур,ввести аббревиатура,ВА,2
heading,0,1. Уже объявленные сокращения,объявленные сокращения,объявить сокращение,ОС,2
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",система управления доступом,система управление доступ,СУД,3
paragraph,2,"В подсистеме контроля используется система управления доступом (СУД), которая разграничивает права операторов и администраторов.",права операторов,право оператор,ПО,2
paragraph,2,После объявления сокращения СУД оно должно учитываться как уже введённое.,объявления сокращения,объявление сокращение,ОС,2
paragraph,3,Для хранения архивов применяется ЦОД (центр обработки данных).,хранения архивов,хранение архив,ХА,2
paragraph,3,Для хранения архивов применяется ЦОД (центр обработки данных).,центр обработки данных,центр обработка данные,ЦОД,3
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,действия пользователей,действие пользователь,ДП,2
paragraph,4,Автоматизированная система мониторинга событий фиксирует действия пользователей и сохраняет журнал инцидентов.,журнал инцидентов,журнал инцидент,ЖИ,2
paragraph,4,Автоматизированная система мониторинга событий используется в модуле аудита.,Автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
paragraph,4,При тестировании автоматизированная система мониторинга событий показала устойчивую работу.,устойчивую работу,устойчивый работа,УР,2
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,устойчивые словоформы,устойчивый словоформа,УС,2
paragraph,5,Модуль анализа текстовых документов выделяет устойчивые словоформы и сопоставляет их с уже известными аббревиатурами.,известными аббревиатурами,известный аббревиатура,ИА,2
paragraph,6,Распределённая база пользовательских профилей синхронизируется между узлами.,Распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
paragraph,6,Позднее распределённая база пользовательских профилей используется для персонализации интерфейса.,персонализации интерфейса,персонализация интерфейс,ПИ,2
paragraph,6,"Если распределённая база пользовательских профилей упоминается многократно, для неё также можно рекомендовать сокращение.",распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
heading,2,3. Пограничные случаи,Пограничные случаи,пограничный случай,ПС,2
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,журнал ошибок,журнал ошибка,ЖО,2
paragraph,7,Короткий термин журнал ошибок встречается один раз и обычно не требует отдельной аббревиатуры.,отдельной аббревиатуры,отдельный аббревиатура,ОА,2
paragraph,8,Рабочая группа анализирует результаты эксперимента.,результаты эксперимента,результат эксперимент,РЭ,2
paragraph,9,"Дополнительный пример вынесен в сноску , чтобы проверить извлечение текста из footnotes.xml.",Дополнительный пример,дополнительный пример,ДП,2
paragraph,9,"Дополнительный пример вынесен в сноску , чтобы проверить извлечение текста из footnotes.xml.",извлечение текста,извлечение текст,ИТ,2
table_cell,0,Тип результата,Тип результата,тип результат,ТР,2
table_cell,1,Ожидаемый пример,Ожидаемый пример,ожидать пример,ОП,2
table_cell,3,СУД — система управления доступом,система управления доступом,система управление доступ,СУД,3
table_cell,5,ЦОД — центр обработки данных,центр обработки данных,центр обработка данные,ЦОД,3
table_cell,7,автоматизированная система мониторинга событий,автоматизированная система мониторинга событий,автоматизированный система мониторинг событие,АСМС,4
table_cell,11,распределённая база пользовательских профилей,распределённая база пользовательских профилей,распределённый база пользовательский профиль,РБПП,4
